time_iso8601,clones_total,clones_unique,views_total,views_unique
2020-12-01 00:00:00+00:00,4,4,59,13
2020-12-02 00:00:00+00:00,2,2,91,16
2020-12-03 00:00:00+00:00,2,2,60,16
2020-12-04 00:00:00+00:00,2,2,107,22
2020-12-05 00:00:00+00:00,2,2,110,17
2020-12-06 00:00:00+00:00,5,5,84,18
2020-12-07 00:00:00+00:00,4,3,104,21
2020-12-08 00:00:00+00:00,2,2,89,17
2020-12-09 00:00:00+00:00,3,3,72,20
2020-12-10 00:00:00+00:00,4,3,102,24
2020-12-11 00:00:00+00:00,4,4,158,27
2020-12-12 00:00:00+00:00,4,4,107,22
2020-12-13 00:00:00+00:00,6,6,262,41
2020-12-14 00:00:00+00:00,2,2,131,32
2020-12-15 00:00:00+00:00,3,3,216,35
2020-12-16 00:00:00+00:00,2,2,158,31
2020-12-17 00:00:00+00:00,4,4,171,38
2020-12-18 00:00:00+00:00,2,2,150,29
2020-12-19 00:00:00+00:00,2,2,98,23
2020-12-20 00:00:00+00:00,3,3,78,14
2020-12-21 00:00:00+00:00,3,3,78,20
2020-12-22 00:00:00+00:00,2,2,126,23
2020-12-23 00:00:00+00:00,2,2,87,20
2020-12-24 00:00:00+00:00,2,2,41,12
2020-12-25 00:00:00+00:00,3,3,41,11
2020-12-26 00:00:00+00:00,45,5,274,20
2020-12-27 00:00:00+00:00,11,3,223,17
2020-12-28 00:00:00+00:00,8,3,195,25
2020-12-29 00:00:00+00:00,7,3,143,22
2020-12-30 00:00:00+00:00,7,3,80,19
2020-12-31 00:00:00+00:00,7,3,29,14
2021-01-01 00:00:00+00:00,7,3,27,14
2021-01-02 00:00:00+00:00,9,5,79,17
2021-01-03 00:00:00+00:00,8,4,82,21
2021-01-04 00:00:00+00:00,7,3,61,20
2021-01-05 00:00:00+00:00,8,4,99,20
2021-01-06 00:00:00+00:00,11,7,178,32
2021-01-07 00:00:00+00:00,10,6,106,25
2021-01-08 00:00:00+00:00,14,8,137,33
2021-01-09 00:00:00+00:00,7,3,65,14
